fecha,humedad
1/1/2000,0.89
1/2/2000,0.86
1/3/2000,0.89
1/4/2000,0.83
1/5/2000,0.83
1/6/2000,0.85
1/7/2000,0.95
1/8/2000,0.89
1/9/2000,0.82
1/10/2000,0.72
1/11/2000,0.67
1/12/2000,0.54
1/1/2001,0.55
1/2/2001,0.51
1/3/2001,0.47
1/4/2001,0.46
1/5/2001,0.6
1/6/2001,0.63
1/7/2001,0.69
1/8/2001,0.7
1/9/2001,0.77
1/10/2001,0.76
1/11/2001,0.79
1/12/2001,0.77
1/1/2002,0.62
1/2/2002,0.66
1/3/2002,0.8
1/4/2002,0.79
1/5/2002,0.82
1/6/2002,0.83
1/7/2002,0.85
1/8/2002,0.83
1/9/2002,0.78
1/10/2002,0.72
1/11/2002,0.61
1/12/2002,0.52
1/1/2003,0.46
1/2/2003,0.4
1/3/2003,0.4
1/4/2003,0.37
1/5/2003,0.4
1/6/2003,0.36
1/7/2003,0.43
1/8/2003,0.5
1/9/2003,0.53
1/10/2003,0.55
1/11/2003,0.58
1/12/2003,0.59
1/1/2004,0.6
1/2/2004,0.63
1/3/2004,0.87
1/4/2004,0.83
1/5/2004,0.89
1/6/2004,0.95
1/7/2004,0.93
1/8/2004,0.93
1/9/2004,0.82
1/10/2004,0.79
1/11/2004,0.84
1/12/2004,0.73
1/1/2005,0.67
1/2/2005,0.67
1/3/2005,0.71
1/4/2005,0.74
1/5/2005,0.81
1/6/2005,0.9
1/7/2005,0.86
1/8/2005,0.99
1/9/2005,0.93
1/10/2005,0.96
1/11/2005,0.96
1/12/2005,0.96
1/1/2006,0.96
1/2/2006,0.93
1/3/2006,0.82
1/4/2006,0.93
1/5/2006,0.93
1/6/2006,0.93
1/7/2006,0.93
1/8/2006,0.93
1/9/2006,0.93
1/10/2006,0.8
1/11/2006,0.86
1/12/2006,0.84
1/1/2007,0.77
1/2/2007,0.71
1/3/2007,0.71
1/4/2007,0.71
1/5/2007,0.76
1/6/2007,0.66
1/7/2007,0.7
1/8/2007,0.7
1/9/2007,0.66
1/10/2007,0.71
1/11/2007,0.72
1/12/2007,0.72
1/1/2008,0.75
1/2/2008,0.75
1/3/2008,0.88
1/4/2008,0.76
1/5/2008,0.7
1/6/2008,0.73
1/7/2008,0.76
1/8/2008,0.76
1/9/2008,0.76
1/10/2008,0.71
1/11/2008,0.73
1/12/2008,0.72
1/1/2009,0.7
1/2/2009,0.7
1/3/2009,0.65
1/4/2009,0.62
1/5/2009,0.65
1/6/2009,0.65
1/7/2009,0.7
1/8/2009,0.75
1/9/2009,0.75
1/10/2009,0.82
1/11/2009,0.83
1/12/2009,0.84
1/1/2010,0.85
1/2/2010,0.88
1/3/2010,0.88
1/4/2010,0.91
1/5/2010,0.94
1/6/2010,0.93
1/7/2010,0.92
1/8/2010,0.92
1/9/2010,0.87
1/10/2010,0.76
1/11/2010,0.66
1/12/2010,0.63
1/1/2011,0.58
1/2/2011,0.59
1/3/2011,0.5
1/4/2011,0.44
1/5/2011,0.55
1/6/2011,0.5
1/7/2011,0.56
1/8/2011,0.68
1/9/2011,0.64
1/10/2011,0.69
1/11/2011,0.72
1/12/2011,0.81
1/1/2012,0.83
1/2/2012,0.8
1/3/2012,0.74
1/4/2012,0.93
1/5/2012,0.89
1/6/2012,0.86
1/7/2012,0.86
1/8/2012,0.84
1/9/2012,0.84
1/10/2012,0.72
1/11/2012,0.71
1/12/2012,0.65
1/1/2013,0.48
1/2/2013,0.47
1/3/2013,0.43
1/4/2013,0.4
1/5/2013,0.37
1/6/2013,0.43
1/7/2013,0.52
1/8/2013,0.63
1/9/2013,0.67
1/10/2013,0.72
1/11/2013,0.66
1/12/2013,0.67
1/1/2014,0.69
1/2/2014,0.71
1/3/2014,0.86
1/4/2014,0.59
1/5/2014,0.6
1/6/2014,0.68
1/7/2014,0.77
1/8/2014,0.77
1/9/2014,0.77
1/10/2014,0.81
1/11/2014,0.62
1/12/2014,0.53
1/1/2015,0.56
1/2/2015,0.56
1/3/2015,0.56
1/4/2015,0.56
1/5/2015,0.59
1/6/2015,0.57
1/7/2015,0.67
1/8/2015,0.73
1/9/2015,0.78
1/10/2015,0.84
1/11/2015,0.84
1/12/2015,0.86
1/1/2016,0.93
1/2/2016,0.9
1/3/2016,0.95
1/4/2016,0.93
1/5/2016,0.89
1/6/2016,0.87
1/7/2016,0.89
1/8/2016,0.86
1/9/2016,0.75
1/10/2016,0.68
1/11/2016,0.67
1/12/2016,0.57
1/1/2017,0.62
1/2/2017,0.56
1/3/2017,0.54
1/4/2017,0.59
1/5/2017,0.57
1/6/2017,0.55
1/7/2017,0.54
1/8/2017,0.61
1/9/2017,0.69
1/10/2017,0.72
1/11/2017,0.79
1/12/2017,0.85
1/1/2018,0.88
1/2/2018,0.92
1/3/2018,0.82
1/4/2018,0.96
1/5/2018,0.96
1/6/2018,0.95
1/7/2018,0.96
1/8/2018,0.93
1/9/2018,0.81
1/10/2018,0.78
1/11/2018,0.77
1/12/2018,0.68
1/1/2019,0.62
1/2/2019,0.64
1/3/2019,0.47
1/4/2019,0.51
1/5/2019,0.55
1/6/2019,0.53
1/7/2019,0.64
1/8/2019,0.62
1/9/2019,0.61
1/10/2019,0.72
1/11/2019,0.75
1/12/2019,0.75
